Date;Open_DJ;Close_DJ;Open_SSE_Composite;Close_SSE_Composite;Open_N225;Close_N225;Open_CAC40;15h_CAC40;Close_CAC40;Open_DAX;15h_DAX;Close_DAX;Open_FTSE100;15h_FTSE100;Close_FTSE100
03/12/2012;13027.730469;12965.599609;1977.254028;1959.766968;9484.200195;9458.179688;3567.899902;#N/A;3566.590088;7427.410156;#N/A;7435.209961;5866.799805;#N/A;5871.200195
04/12/2012;12966.450195;12951.780273;1956.615967;1975.142944;9419.150391;9432.459961;3563.030029;#N/A;3580.479980;7428.129883;#N/A;7435.120117;5871.200195;#N/A;5869.000000
05/12/2012;12948.959961;13034.490234;1973.107056;2031.906982;9380.370117;9468.839844;3602.209961;#N/A;3590.500000;7480.589844;#N/A;7454.549805;5869.000000;#N/A;5892.100098
06/12/2012;13026.190430;13074.040039;2029.562012;2029.237061;9535.690430;9545.160156;3598.129883;#N/A;3601.649902;7469.540039;#N/A;7534.540039;5892.100098;#N/A;5901.399902
07/12/2012;13072.870117;13155.129883;2028.765991;2061.785889;9547.139648;9527.389648;3606.760010;#N/A;3605.610107;7539.779785;#N/A;7517.799805;5901.399902;#N/A;5914.399902
10/12/2012;13154.889648;13169.879883;2067.323975;2083.770020;9584.459961;9533.750000;3587.320068;#N/A;3612.100098;7484.950195;#N/A;7530.919922;5914.399902;#N/A;5921.600098
11/12/2012;13170.339844;13248.440430;2077.556885;2074.704102;9510.599609;9525.320313;3618.969971;#N/A;3646.149902;7529.240234;#N/A;7589.750000;5921.600098;#N/A;5925.000000
12/12/2012;13250.049805;13245.450195;2073.270996;2082.726074;9606.250000;9581.459961;3646.419922;#N/A;3646.659912;7595.200195;#N/A;7614.790039;5925.000000;#N/A;5945.899902
13/12/2012;13241.379883;13170.719727;2077.416992;2061.476074;9681.200195;9742.730469;3654.219971;#N/A;3643.129883;7618.620117;#N/A;7581.979980;5945.899902;#N/A;5929.600098
14/12/2012;13170.799805;13135.009766;2062.688965;2150.625000;9703.559570;9737.559570;3643.699951;#N/A;3643.280029;7599.029785;#N/A;7596.470215;5929.600098;#N/A;5921.799805
17/12/2012;13135.169922;13235.389648;2152.096924;2160.342041;9895.679688;9828.879883;3633.169922;#N/A;3638.100098;7604.160156;#N/A;7604.939941;5921.799805;#N/A;5912.200195
18/12/2012;13236.610352;13350.959961;2155.857910;2162.464111;9848.870117;9923.009766;3650.250000;#N/A;3648.629883;7634.279785;#N/A;7653.580078;5912.200195;#N/A;5935.899902
19/12/2012;13351.040039;13251.969727;2158.669922;2162.239014;10025.400391;10160.400391;3661.629883;#N/A;3664.590088;7675.330078;#N/A;7668.500000;5935.899902;#N/A;5961.600098
